models,参数量,单位,发布时间
InternVL2-1B,938,M,2024.11
llava_onevision_qwen2_0.5b_ov,894,M,2024.7
llava_onevision_qwen2_0.5b_si,894,M,2024.7
h2ovl-mississippi-1b,800,M,2024.1
NVLM,79.4,B,2024.9
InternVL2-76B,76.3,B,2024.6
Qwen2-VL-72B-Instruct,72,B,2024.8
360VL-70B,71,B,2024.4
InternVL2-40B,40.1,B,2024.6
InternVL-Chat-V1-5,25.5,B,2024.3
InternVL2-26B,25.5,B,2024.11
MMAlaya2,25.5,B,2024.8
Eagle-X5-13B,15.4,B,2024.8
Slime-13B,13.4,B,2024.5
TransCore_M,13.4,B,2024.3
llava_next_vicuna_13b,13.4,B,2024.2
llava_v1.5_13b,13,B,2024.1
Pixtral-12B,12,B,2024.8
Ovis1.5-Gemma2-9B,11.4,B,2024.7
Falcon2-VLM-11B,11,B,2024.7
Ovis1.6-Gemma2-9B,10.2,B,2024.9
monkey,9.8,B,2023.11
monkey-chat,9.8,B,2023.11
POINTS-Yi-1.5-9B-Chat,9.47,B,2024.9
Mantis-8B-Fuyu,9.41,B,2024.4
Eagle-X5-7B,9.07,B,2024.8
Bunny-llama3-8B,8.48,B,2024.4
Mantis-8B-siglip-llama3,8.48,B,2024.4
Mantis-8B-Idefics2,8.4,B,2024.5
idefics2_8b,8.4,B,2024.3
Slime-8B,8.36,B,2024.5
Mantis-8B-clip-llama3,8.35,B,2024.1
llava_next_llama3,8.35,B,2024.4
POINTS-Qwen-2.5-7B-Chat,8.34,B,2024.12
llava_next_interleave_7b,8.14,B,2024.6
llava_next_interleave_7b_dpo,8.14,B,2024.6
MiniCPM-V-2_6,8.1,B,2024.7
InternVL2-8B,8.08,B,2024.11
llava_onevision_qwen2_7b_ov,8.03,B,2024.7
llava_onevision_qwen2_7b_si,8.03,B,2024.7
molmo-7B-D-0924,8.02,B,2024.9
Ovis1.5-Llama3-8B,8,B,2024.7
molmo-7B-O-0924,7.67,B,2024.9
llava_next_mistral_7b,7.57,B,2024.3
deepseek_vl_7b,7.34,B,2024.2
Slime-7B,7.07,B,2024.5
llava_next_vicuna_7b,7.06,B,2024.5
XComposer2,7,B,2024.1
llava_v1.5_7b,7,B,2024.1
Phi-3-Vision,4.15,B,2024.5
Ovis1.6-Llama3.2-3B,4.14,B,2024.1
InternVL2-4B,3.71,B,2024.11
MiniCPM-V-2,3.43,B,2024.11
Vintern-3B-beta,3.17,B,2024.1
BlueLM_V,3,B,2024.11
paligemma-3b-mix-448,2.92,B,2024.4
InternVL2-2B,2.21,B,2024.11
Aquila-VL-2B,2.18,B,2024.1
h2ovl-mississippi-2b,2.15,B,2024.1
Janus-1.3B,2.09,B,2024.1
deepseek_vl_1.3b,1.98,B,2024.2
Moondream2,1.87,B,2024.2
Moondream1,1.86,B,2024.1
XComposer2_1.8b,1.8,B,2024.1
Kosmos2,1.66,B,2023.6
molmoE-1B-0924,1,B,2024.9
GPT4V_20240409_HIGH,,,2024.4
GPT4o,,,2024.5
GPT4o_20240806,,,2024.8
GPT4o_HIGH,,,2024.5
GeminiFlash1-5,,,2024.9
GeminiPro1-5,,,2024.9
JTVL,,,
Qwen-VL-Max-0809,,,2024.8
Qwen-VL-Plus-0809,,,2024.8
Step1V,,,
Taiyi,,,2023.11
